timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.66591E+12,233,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,233,0,11
1.66591E+12,209,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,209,0,4
1.66591E+12,208,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,208,0,4
1.66591E+12,209,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,209,0,4
1.66591E+12,206,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,206,0,3
1.66591E+12,206,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,206,0,5
1.66591E+12,206,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,206,0,6
1.66591E+12,204,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,204,0,4
1.66591E+12,213,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,213,0,5
1.66591E+12,206,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,206,0,8
1.66591E+12,209,HTTP Request,200,OK,Thread Group 1-11,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,209,0,5
1.66591E+12,208,HTTP Request,200,OK,Thread Group 1-12,text,TRUE,,992,161,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,208,0,7
